Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	Cer(d18:1/24:1)	0.9040619838389582	5.4383315334880865e-5
taurolithocholicacid-3-sulfate	Cer(d18:1/24:0)	0.589879970930817	0.043501880587991336
taurolithocholicacid-3-sulfate	Cer(d18:1/23:0)	-0.8214568567751576	0.001049926455664582
taurolithocholicacid-3-sulfate	CerP(d18:1/24:0)	0.7694688052341885	0.0034302017489162826
taurolithocholicacid-3-sulfate	CerP(d18:1/18:1)	0.6455599567340857	0.023369563120409633
taurolithocholicacid-3-sulfate	CerP(d18:1/20:3)	0.7655389300063222	0.0037060213450597645
taurolithocholicacid-3-sulfate	Cholesterol	0.6362794382954403	0.026122877543318414
taurolithocholicacid-3-sulfate	CoenzymeQ8	-0.7783562723791788	0.0028640404143513644
taurolithocholicacid-3-sulfate	CoenzymeQ9	-0.6784358435572968	0.015293474391729447
taurolithocholicacid-3-sulfate	DG(16:0_18:0)	0.6280342863848464	0.02875949139891687
taurolithocholicacid-3-sulfate	DG(16:0_20:0)	0.7506589857925725	0.00490541421025677
taurolithocholicacid-3-sulfate	DG(18:2_20:4)	-0.7419483891926105	0.005731540370658966
taurolithocholicacid-3-sulfate	DG(18:0_22:4)	0.7442500269938783	0.005503769218701551
taurolithocholicacid-3-sulfate	DG(18:0_20:4)	-0.651911775062867	0.021610942695632507
taurolithocholicacid-3-sulfate	DG(16:0_20:4)	0.8044523656148698	0.001604958288633056
taurolithocholicacid-3-sulfate	DG(18:0_18:2)	-0.5820008878352834	0.04710770272173065
taurolithocholicacid-3-sulfate	DG(20:4_22:6)	-0.8279228388842282	8.83224015618341e-4
taurolithocholicacid-3-sulfate	DG(16:0_16:0)	-0.7284637995120012	0.007211743937567617
taurolithocholicacid-3-sulfate	DG(14:0_16:0)	-0.852620718749199	4.2526676056186364e-4
taurolithocholicacid-3-sulfate	DG(O-16:0_12:0)	-0.7577940430212361	0.0042985394796689735
taurolithocholicacid-3-sulfate	FFA(30:0)	0.8856349114319175	1.2679087612495562e-4
taurolithocholicacid-3-sulfate	FFA(22:0)	-0.8557090589442465	3.846275680388364e-4
taurolithocholicacid-3-sulfate	FFA(28:0)	0.7584485722158157	0.004245863036641898
taurolithocholicacid-3-sulfate	FFA(26:0)	-0.7462131606140474	0.005314946981015533
taurolithocholicacid-3-sulfate	FFA(32:1)	-0.7280371994939978	0.007262820723363113
