Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	DG(16:0_20:0)	0.696969696969697	0.011770284624359301
taurolithocholicacid-3-sulfate	DG(18:2_20:4)	-0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	DG(18:0_22:4)	0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	DG(18:0_20:4)	-0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	DG(16:0_20:4)	0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	DG(18:0_18:2)	-0.24242424242424243	0.447753328173465
taurolithocholicacid-3-sulfate	DG(20:4_22:6)	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	DG(16:0_16:0)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	DG(14:0_16:0)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	DG(O-16:0_12:0)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	FFA(30:0)	0.696969696969697	0.011770284624359301
taurolithocholicacid-3-sulfate	FFA(22:0)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	FFA(28:0)	0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	FFA(26:0)	-0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	FFA(32:1)	-0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	FFA(19:2)	0.696969696969697	0.011770284624359301
taurolithocholicacid-3-sulfate	FFA(19:0)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	FFA(29:0)	-0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	FFA(16:1)	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	FFA(24:2)	-0.6363636363636364	0.02609689105270316
taurolithocholicacid-3-sulfate	FFA(20:1)	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	FFA(24:1)	0.6060606060606061	0.03671701047945948
