index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Nanoarchaeota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Calditrichota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__Margulisbacteria,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospinota,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,group1
M10I6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1856.0,38.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,115.0,0.0,9.0,228.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1589.0,0.0,0.0,0.0,0.0,966.0,MucusRes
M10I7,0.0,0.0,0.0,0.0,0.0,2.0,38.0,1495.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0,0.0,8.0,502.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,1451.0,1.0,0.0,0.0,0.0,1232.0,MucusRes
M10I8,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1916.0,61.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,260.0,0.0,13.0,210.0,4.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,14.0,1801.0,0.0,0.0,0.0,0.0,524.0,MucusRes
M0C1,0.0,0.0,0.0,0.0,0.0,15.0,4.0,2730.0,23.0,0.0,15.0,0.0,1.0,5.0,0.0,0.0,12.0,0.0,3.0,22.0,2.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,7.0,7.0,29.0,1817.0,0.0,0.0,0.0,0.0,126.0,MucusCont
M0C2,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2640.0,91.0,0.0,228.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,45.0,0.0,1.0,0.0,1.0,0.0,83.0,17.0,1.0,4.0,1.0,51.0,1150.0,0.0,0.0,0.0,0.0,483.0,MucusCont
M0C3,0.0,4.0,0.0,0.0,1.0,1.0,101.0,1978.0,17.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,54.0,0.0,0.0,1224.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,4.0,2.0,12.0,1241.0,0.0,0.0,0.0,4.0,160.0,MucusCont
M0C4,1.0,0.0,0.0,0.0,0.0,9.0,4.0,3321.0,65.0,0.0,74.0,0.0,22.0,1.0,0.0,0.0,14.0,0.0,5.0,63.0,0.0,0.0,1.0,0.0,0.0,46.0,4.0,0.0,2.0,0.0,11.0,981.0,0.0,0.0,0.0,0.0,210.0,MucusCont
M0C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273.0,5.0,0.0,44.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1726.0,0.0,0.0,0.0,0.0,753.0,MucusCont
M4C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.0,2.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1725.0,0.0,0.0,0.0,0.0,791.0,MucusCont
M4C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2327.0,4.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1326.0,0.0,0.0,0.0,0.0,1063.0,MucusCont
