index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Nanoarchaeota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Calditrichota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__Margulisbacteria,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospinota,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,group1
Gi10I3,8.0,24.0,0.0,0.0,0.0,4.0,17.0,213.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222.0,0.0,0.0,0.0,0.0,3892.0,GillInf
Gi10I4,8.0,39.0,0.0,0.0,0.0,0.0,274.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,2529.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,875.0,0.0,0.0,0.0,7.0,629.0,GillRes
Gi10I5,17.0,48.0,0.0,0.0,0.0,0.0,428.0,332.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,0.0,0.0,2594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,14.0,949.0,GillInf
Gi10I6,50.0,137.0,0.0,0.0,0.0,0.0,185.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,814.0,0.0,0.0,0.0,5.0,1148.0,GillRes
Gi10I7,16.0,396.0,0.0,0.0,0.0,0.0,163.0,230.0,2.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,22.0,0.0,0.0,709.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,526.0,0.0,0.0,0.0,0.0,2736.0,GillRes
Gi10I10,23.0,151.0,0.0,0.0,9.0,0.0,113.0,391.0,0.0,0.0,0.0,0.0,49.0,0.0,43.0,0.0,28.0,0.0,0.0,598.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,481.0,0.0,79.0,0.0,24.0,2842.0,GillRes
Gi0C1,11.0,47.0,0.0,0.0,2.0,0.0,17.0,145.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,200.0,0.0,0.0,0.0,0.0,4210.0,GillCont
Gi0C2,2.0,1.0,0.0,0.0,0.0,0.0,213.0,386.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,49.0,0.0,0.0,2537.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,0.0,0.0,0.0,8.0,8.0,GillCont
Gi0C3,10.0,13.0,0.0,0.0,0.0,0.0,444.0,969.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2377.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,15.0,GillCont
Gi0C4,879.0,263.0,0.0,0.0,17.0,0.0,75.0,1257.0,1.0,0.0,118.0,0.0,104.0,0.0,158.0,0.0,132.0,0.0,58.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,0.0,0.0,0.0,5.0,192.0,GillCont
Gi0C5,343.0,179.0,0.0,10.0,4.0,0.0,293.0,376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.0,0.0,20.0,0.0,0.0,60.0,GillCont
Gi4C1,272.0,87.0,0.0,4.0,3.0,0.0,164.0,692.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1149.0,0.0,60.0,0.0,17.0,874.0,GillCont
Gi4C2,10.0,23.0,0.0,0.0,0.0,0.0,458.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,7.0,134.0,GillCont
Gi4C3,58.0,71.0,0.0,4.0,4.0,0.0,60.0,725.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,6.0,0.0,0.0,2736.0,GillCont
Gi4C4,93.0,85.0,0.0,0.0,3.0,0.0,334.0,275.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,2539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,0.0,25.0,0.0,4.0,623.0,GillCont
Gi4C5,114.0,54.0,0.0,0.0,8.0,0.0,30.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,111.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,174.0,0.0,0.0,3201.0,GillCont
Gi7C1,12.0,0.0,0.0,0.0,0.0,0.0,356.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2576.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,0.0,0.0,0.0,14.0,26.0,GillCont
Gi7C2,95.0,18.0,0.0,0.0,0.0,0.0,197.0,392.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,2319.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,16.0,275.0,GillCont
Gi7C3,47.0,28.0,0.0,0.0,6.0,2.0,327.0,409.0,0.0,0.0,0.0,5.0,2.0,0.0,20.0,0.0,22.0,0.0,0.0,2899.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,0.0,0.0,0.0,0.0,170.0,GillCont
Gi7C4,148.0,150.0,0.0,0.0,1.0,0.0,141.0,806.0,26.0,0.0,0.0,11.0,67.0,0.0,0.0,0.0,44.0,37.0,0.0,2079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1038.0,0.0,46.0,0.0,13.0,222.0,GillCont
Gi7C5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1219.0,0.0,0.0,0.0,0.0,3.0,0.0,98.0,0.0,0.0,0.0,0.0,2847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,224.0,0.0,0.0,0.0,0.0,383.0,GillCont
Gi10C1,33.0,611.0,0.0,0.0,0.0,0.0,252.0,304.0,0.0,0.0,4.0,0.0,1334.0,0.0,0.0,0.0,6.0,0.0,0.0,1874.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,370.0,0.0,0.0,0.0,0.0,32.0,GillCont
Gi10C2,348.0,95.0,0.0,0.0,27.0,0.0,0.0,933.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1206.0,0.0,0.0,0.0,0.0,1980.0,GillCont
Gi10C3,574.0,126.0,34.0,0.0,15.0,0.0,23.0,588.0,8.0,0.0,0.0,2.0,14.0,0.0,3.0,0.0,58.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1508.0,0.0,0.0,0.0,24.0,762.0,GillCont
Gi10C5,58.0,312.0,0.0,0.0,0.0,0.0,172.0,540.0,5.0,0.0,0.0,4.0,447.0,0.0,0.0,0.0,53.0,0.0,1.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,761.0,0.0,0.0,0.0,6.0,625.0,GillCont
M00C1,0.0,0.0,0.0,0.0,0.0,2.0,18.0,487.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,35.0,145.0,5.0,0.0,0.0,3.0,0.0,58.0,1.0,0.0,0.0,2.0,16.0,3654.0,0.0,0.0,0.0,0.0,99.0,MucusCont
M00C2,0.0,0.0,0.0,0.0,2.0,6.0,7.0,440.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,19.0,4.0,3931.0,0.0,0.0,0.0,0.0,141.0,MucusCont
M00C3,0.0,0.0,0.0,0.0,4.0,0.0,38.0,636.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,84.0,0.0,27.0,178.0,3.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,7.0,5.0,3609.0,0.0,0.0,0.0,0.0,169.0,MucusCont
M00C4,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1931.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,9.0,941.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1388.0,0.0,0.0,0.0,2.0,74.0,MucusCont
M00C5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2449.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,28.0,48.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1845.0,0.0,0.0,0.0,0.0,75.0,MucusCont
M0I1,0.0,0.0,0.0,0.0,0.0,35.0,3.0,104.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,28.0,4573.0,2.0,0.0,0.0,0.0,30.0,MucusRes
M0I2,0.0,0.0,0.0,0.0,0.0,42.0,486.0,592.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,71.0,0.0,0.0,2327.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,8.0,1208.0,0.0,0.0,0.0,28.0,60.0,MucusRes
M0I3,0.0,0.0,0.0,0.0,7.0,158.0,26.0,605.0,7.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,20.0,0.0,0.0,57.0,0.0,12.0,10.0,5.0,0.0,22.0,23.0,2.0,17.0,1.0,63.0,3733.0,4.0,0.0,0.0,0.0,50.0,MucusRes
M0I4,0.0,0.0,0.0,0.0,0.0,17.0,111.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,610.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,18.0,3820.0,2.0,0.0,0.0,1.0,10.0,MucusRes
M0I5,2.0,1.0,0.0,0.0,3.0,71.0,6.0,256.0,14.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,15.0,0.0,0.0,24.0,0.0,5.0,0.0,2.0,0.0,5.0,8.0,0.0,1.0,1.0,20.0,4353.0,2.0,0.0,0.0,0.0,31.0,MucusRes
