Report Name,Link
"Shotgun-Metagenomics_PacBio","https://europe-demoreports.netlify.app/Shotgun-Metagenomics_PacBio/report.html"
"Shotgun-Metagenomics_Readsmapping_Kraken2","https://europe-demoreports.netlify.app/Shotgun-Metagenomics_Readsmapping_Kraken2/report.html"
"Shotgun-Metagenomics_Readsmapping_MetaPhlAn","https://europe-demoreports.netlify.app/Shotgun-Metagenomics_Readsmapping_MetaPhlAn/report.html"
"Shotgun-Metagenomics_Standard_Analysis-Assemblybased","https://europe-demoreports.netlify.app/Shotgun-Metagenomics_Standard_Analysis-Assemblybased/report.html"
"WGBS","https://europe-demoreports.netlify.app/WGBS/report.html"
"WGBS_advanced_Loci_analysis","https://europe-demoreports.netlify.app/WGBS_advanced_Loci_analysis/report.html"
"Whole_Plasmid_Sequencing_ONT","https://europe-demoreports.netlify.app/Whole_Plasmid_Sequencing_ONT/report.html"
"Whole_Transcriptome_Seq-joint_analysis","https://europe-demoreports.netlify.app/Whole_Transcriptome_Seq-joint_analysis/report.html"
"circRNA-seq","https://europe-demoreports.netlify.app/circRNA-seq/report.html"
"circRNA-seq_exosome","https://europe-demoreports.netlify.app/circRNA-seq_exosome/report.html"
"lncRNA-seq","https://europe-demoreports.netlify.app/lncRNA-seq/report.html"
"lncRNA-seq_advanced_medical","https://europe-demoreports.netlify.app/lncRNA-seq_advanced_medical/report.html"
"lncRNA-seq_exosome","https://europe-demoreports.netlify.app/lncRNA-seq_exosome/report.html"
"smallRNA-seq","https://europe-demoreports.netlify.app/smallRNA-seq/report.html"
"smallRNA-seq_exosome","https://europe-demoreports.netlify.app/smallRNA-seq_exosome/report.html"
"smallRNA-seq_piRNA_advanced","https://europe-demoreports.netlify.app/smallRNA-seq_piRNA_advanced/report.html"
"smallRNA-seq_siRNA_advanced","https://europe-demoreports.netlify.app/smallRNA-seq_siRNA_advanced/report.html"
